payment_id,customer_id,customer_name,store_id,payment_amount,payment_date,rental_date,return_date,film_id,film_title,rental_duration,rental_rate,category_name
14975,559,"EVERETT BANDA",2,1.99,"2005-07-29 14:08:06","2005-07-29 14:08:06","2005-08-05 14:57:06",19,"AMADEUS HOLY",6,0.99,Action
166,6,"JENNIFER DAVIS",2,0.99,"2005-08-17 08:12:20","2005-08-17 08:12:20","2005-08-19 12:45:20",19,"AMADEUS HOLY",6,0.99,Action
1291,47,"FRANCES PARKER",1,4.99,"2005-05-26 08:04:38","2005-05-26 08:04:38","2005-05-27 09:32:38",21,"AMERICAN CIRCUS",3,4.99,Action
8081,298,"ERIKA PENA",1,4.99,"2005-06-15 19:49:41","2005-06-15 19:49:41","2005-06-17 15:17:41",21,"AMERICAN CIRCUS",3,4.99,Action
10032,371,"BILLY POULIN",1,8.99,"2005-07-07 06:52:23","2005-07-07 06:52:23","2005-07-14 06:12:23",21,"AMERICAN CIRCUS",3,4.99,Action
5117,188,"MELANIE ARMSTRONG",1,4.99,"2005-08-01 20:22:44","2005-08-01 20:22:44","2005-08-04 19:48:44",21,"AMERICAN CIRCUS",3,4.99,Action
9459,349,"JOE GILLILAND",2,4.99,"2005-08-22 04:44:10","2005-08-22 04:44:10","2005-08-25 05:09:10",21,"AMERICAN CIRCUS",3,4.99,Action
8243,304,"DAVID ROYAL",2,10.99,"2005-05-25 21:58:58","2005-05-25 21:58:58","2005-06-03 17:50:58",21,"AMERICAN CIRCUS",3,4.99,Action
3228,120,"SYLVIA ORTIZ",2,9.99,"2005-06-19 19:18:27","2005-06-19 19:18:27","2005-06-27 21:48:27",21,"AMERICAN CIRCUS",3,4.99,Action
4026,148,"ELEANOR HUNT",1,10.99,"2005-07-12 16:37:55","2005-07-12 16:37:55","2005-07-21 16:04:55",21,"AMERICAN CIRCUS",3,4.99,Action
8204,302,"MICHAEL SILVERMAN",1,8.99,"2005-07-30 19:10:03","2005-07-30 19:10:03","2005-08-06 21:54:03",21,"AMERICAN CIRCUS",3,4.99,Action
8105,298,"ERIKA PENA",1,4.99,"2005-08-23 08:13:26","2005-08-23 08:13:26","2005-08-25 05:18:26",21,"AMERICAN CIRCUS",3,4.99,Action
14214,528,"CLAUDE HERZOG",1,9.99,"2005-07-07 03:35:33","2005-07-07 03:35:33","2005-07-15 03:11:33",21,"AMERICAN CIRCUS",3,4.99,Action
2050,75,"TAMMY SANDERS",2,4.99,"2005-08-02 00:27:24","2005-08-02 00:27:24","2005-08-05 06:25:24",21,"AMERICAN CIRCUS",3,4.99,Action
14655,545,"JULIO NOLAND",2,10.99,"2005-08-18 19:11:45","2005-08-18 19:11:45","2005-08-27 13:34:45",21,"AMERICAN CIRCUS",3,4.99,Action
12165,451,"JIM REA",1,6.99,"2005-06-17 07:42:22","2005-06-17 07:42:22","2005-06-22 11:59:22",21,"AMERICAN CIRCUS",3,4.99,Action
1299,47,"FRANCES PARKER",1,9.99,"2005-07-11 09:31:04","2005-07-11 09:31:04","2005-07-19 03:41:04",21,"AMERICAN CIRCUS",3,4.99,Action
12636,468,"TIM CARY",1,10.99,"2005-08-02 13:45:05","2005-08-02 13:45:05","2005-08-11 16:37:05",21,"AMERICAN CIRCUS",3,4.99,Action
11856,439,"ALEXANDER FENNELL",2,5.99,"2005-08-18 22:38:47","2005-08-18 22:38:47","2005-08-22 23:58:47",21,"AMERICAN CIRCUS",3,4.99,Action
8616,318,"BRIAN WYMAN",1,4.99,"2005-07-06 11:33:37","2005-07-06 11:33:37","2005-07-08 08:31:37",21,"AMERICAN CIRCUS",3,4.99,Action
1109,40,"AMANDA CARTER",2,8.99,"2005-07-30 06:59:55","2005-07-30 06:59:55","2005-08-06 06:37:55",21,"AMERICAN CIRCUS",3,4.99,Action
1228,44,"MARIE TURNER",1,4.99,"2006-02-14 15:16:03","2006-02-14 15:16:03",NULL,21,"AMERICAN CIRCUS",3,4.99,Action
6772,251,"VICKIE BREWER",2,8.99,"2005-07-27 14:13:34","2005-07-27 14:13:34","2005-08-03 18:36:34",21,"AMERICAN CIRCUS",3,4.99,Action
4149,152,"ALICIA MILLS",1,4.99,"2005-08-19 04:27:11","2005-08-19 04:27:11","2005-08-20 03:04:11",21,"AMERICAN CIRCUS",3,4.99,Action
12086,448,"MIGUEL BETANCOURT",1,2.99,"2005-05-31 16:48:43","2005-05-31 16:48:43","2005-06-02 19:17:43",29,"ANTITRUST TOMATOES",5,2.99,Action
6592,244,"VIOLA HANSON",2,6.99,"2005-06-15 01:04:22","2005-06-15 01:04:22","2005-06-24 06:48:22",29,"ANTITRUST TOMATOES",5,2.99,Action
5729,211,"STACEY MONTGOMERY",1,4.99,"2005-07-10 14:06:03","2005-07-10 14:06:03","2005-07-17 17:59:03",29,"ANTITRUST TOMATOES",5,2.99,Action
13701,508,"MILTON HOWLAND",2,2.99,"2005-07-31 07:43:19","2005-07-31 07:43:19","2005-08-05 11:11:19",29,"ANTITRUST TOMATOES",5,2.99,Action
4909,180,"STACY CUNNINGHAM",2,2.99,"2005-08-20 19:33:21","2005-08-20 19:33:21","2005-08-24 20:55:21",29,"ANTITRUST TOMATOES",5,2.99,Action
5176,191,"JEANETTE GREENE",1,2.99,"2005-05-31 19:14:15","2005-05-31 19:14:15","2005-06-02 17:13:15",29,"ANTITRUST TOMATOES",5,2.99,Action
7898,292,"MISTY LAMBERT",2,3.99,"2005-06-19 22:06:06","2005-06-19 22:06:06","2005-06-25 22:30:06",29,"ANTITRUST TOMATOES",5,2.99,Action
12314,456,"RONNIE RICKETTS",2,2.99,"2005-07-06 18:35:37","2005-07-06 18:35:37","2005-07-10 00:06:37",29,"ANTITRUST TOMATOES",5,2.99,Action
14242,529,"ERIK GUILLEN",2,3.99,"2005-07-27 06:14:36","2005-07-27 06:14:36","2005-08-02 05:18:36",29,"ANTITRUST TOMATOES",5,2.99,Action
1817,66,"JANICE WARD",2,2.99,"2005-08-21 01:31:25","2005-08-21 01:31:25","2005-08-23 02:32:25",29,"ANTITRUST TOMATOES",5,2.99,Action
12505,463,"DARRELL POWER",2,4.99,"2005-06-21 08:00:49","2005-06-21 08:00:49","2005-06-29 04:11:49",56,"BAREFOOT MANCHURIAN",6,2.99,Action
15799,590,"SETH HANNON",2,2.99,"2005-07-08 12:04:53","2005-07-08 12:04:53","2005-07-13 11:28:53",56,"BAREFOOT MANCHURIAN",6,2.99,Action
4356,160,"ERIN DUNN",2,2.99,"2005-07-31 20:17:09","2005-07-31 20:17:09","2005-08-01 19:14:09",56,"BAREFOOT MANCHURIAN",6,2.99,Action
7012,259,"LENA JENSEN",2,2.99,"2005-08-23 09:52:55","2005-08-23 09:52:55","2005-08-29 11:15:55",56,"BAREFOOT MANCHURIAN",6,2.99,Action
1292,47,"FRANCES PARKER",1,6.99,"2005-05-26 20:57:00","2005-05-26 20:57:00","2005-06-05 01:34:00",56,"BAREFOOT MANCHURIAN",6,2.99,Action
13467,500,"REGINALD KINDER",1,3.99,"2005-06-18 01:20:26","2005-06-18 01:20:26","2005-06-25 00:30:26",56,"BAREFOOT MANCHURIAN",6,2.99,Action
4410,162,"LAUREN HUDSON",2,2.99,"2005-07-09 00:30:52","2005-07-09 00:30:52","2005-07-15 23:50:52",56,"BAREFOOT MANCHURIAN",6,2.99,Action
5406,199,"BETH FRANKLIN",2,2.99,"2005-07-31 09:22:02","2005-07-31 09:22:02","2005-08-02 14:34:02",56,"BAREFOOT MANCHURIAN",6,2.99,Action
13658,506,"LESLIE SEWARD",2,5.99,"2005-08-22 08:55:43","2005-08-22 08:55:43","2005-08-31 05:35:43",56,"BAREFOOT MANCHURIAN",6,2.99,Action
9846,364,"BENJAMIN VARNEY",1,2.99,"2005-07-27 11:30:20","2005-07-27 11:30:20","2005-07-29 17:16:20",56,"BAREFOOT MANCHURIAN",6,2.99,Action
14303,531,"JAMIE WAUGH",2,2.99,"2005-08-17 05:45:10","2005-08-17 05:45:10","2005-08-19 06:47:10",56,"BAREFOOT MANCHURIAN",6,2.99,Action
2690,100,"ROBIN HAYES",1,3.99,"2005-06-15 12:24:15","2005-06-15 12:24:15","2005-06-22 13:02:15",56,"BAREFOOT MANCHURIAN",6,2.99,Action
11808,438,"BARRY LOVELACE",1,4.99,"2005-07-09 21:04:47","2005-07-09 21:04:47","2005-07-17 00:55:47",56,"BAREFOOT MANCHURIAN",6,2.99,Action
1680,61,"KATHERINE RIVERA",2,2.99,"2005-08-02 18:16:55","2005-08-02 18:16:55","2005-08-07 18:12:55",56,"BAREFOOT MANCHURIAN",6,2.99,Action
3830,141,"DEBBIE REYES",1,2.99,"2005-08-23 19:45:25","2005-08-23 19:45:25","2005-08-26 22:43:25",56,"BAREFOOT MANCHURIAN",6,2.99,Action
9924,367,"ADAM GOOCH",1,2.99,"2005-07-10 17:08:30","2005-07-10 17:08:30","2005-07-13 21:21:30",56,"BAREFOOT MANCHURIAN",6,2.99,Action
3455,128,"MARJORIE TUCKER",1,2.99,"2005-07-31 13:02:07","2005-07-31 13:02:07","2005-08-03 15:14:07",56,"BAREFOOT MANCHURIAN",6,2.99,Action
3610,133,"PAULINE HENRY",1,2.99,"2005-08-20 16:30:49","2005-08-20 16:30:49","2005-08-24 13:30:49",56,"BAREFOOT MANCHURIAN",6,2.99,Action
335,13,"KAREN JACKSON",2,2.99,"2005-07-06 21:39:24","2005-07-06 21:39:24","2005-07-11 16:10:24",67,"BERETS AGENT",5,2.99,Action
8519,314,"GEORGE LINTON",1,6.99,"2005-07-28 15:48:56","2005-07-28 15:48:56","2005-08-06 13:40:56",67,"BERETS AGENT",5,2.99,Action
9087,336,"JOSHUA MARK",1,2.99,"2005-08-17 08:49:05","2005-08-17 08:49:05","2005-08-22 08:53:05",67,"BERETS AGENT",5,2.99,Action
15965,596,"ENRIQUE FORSYTHE",1,2.99,"2005-07-11 02:04:12","2005-07-11 02:04:12","2005-07-13 02:43:12",67,"BERETS AGENT",5,2.99,Action
6207,230,"JOY GEORGE",2,3.99,"2005-07-31 19:13:29","2005-07-31 19:13:29","2005-08-06 15:44:29",67,"BERETS AGENT",5,2.99,Action
8236,303,"WILLIAM SATTERFIELD",2,2.99,"2005-08-17 18:27:49","2005-08-17 18:27:49","2005-08-21 00:04:49",67,"BERETS AGENT",5,2.99,Action
5102,188,"MELANIE ARMSTRONG",1,2.99,"2005-06-16 00:31:40","2005-06-16 00:31:40","2005-06-21 05:20:40",67,"BERETS AGENT",5,2.99,Action
14187,527,"CORY MEEHAN",1,3.99,"2005-07-11 01:28:33","2005-07-11 01:28:33","2005-07-17 21:24:33",67,"BERETS AGENT",5,2.99,Action
11018,407,"DALE RATCLIFF",1,2.99,"2005-07-29 21:25:51","2005-07-29 21:25:51","2005-07-30 18:15:51",67,"BERETS AGENT",5,2.99,Action
14886,555,"DWIGHT LOMBARDI",1,2.99,"2005-08-18 01:30:19","2005-08-18 01:30:19","2005-08-21 05:52:19",67,"BERETS AGENT",5,2.99,Action
11249,416,"JEFFERY PINSON",2,2.99,"2005-07-11 06:21:43","2005-07-11 06:21:43","2005-07-16 10:04:43",67,"BERETS AGENT",5,2.99,Action
11442,423,"ALFRED CASILLAS",2,2.99,"2005-08-01 10:27:27","2005-08-01 10:27:27","2005-08-02 11:05:27",67,"BERETS AGENT",5,2.99,Action
711,26,"JESSICA HALL",2,5.99,"2005-08-17 08:54:30","2005-08-17 08:54:30","2005-08-25 03:28:30",67,"BERETS AGENT",5,2.99,Action
14405,535,"JAVIER ELROD",1,6.99,"2005-07-08 21:30:53","2005-07-08 21:30:53","2005-07-17 01:29:53",67,"BERETS AGENT",5,2.99,Action
5432,200,"JEANNE LAWSON",2,2.99,"2005-07-27 22:53:00","2005-07-27 22:53:00","2005-07-29 18:39:00",67,"BERETS AGENT",5,2.99,Action
7706,284,"SONIA GREGORY",1,5.98,"2006-02-14 15:16:03","2006-02-14 15:16:03",NULL,67,"BERETS AGENT",5,2.99,Action
10309,381,"BOBBY BOUDREAU",2,2.99,"2005-05-29 23:37:00","2005-05-29 23:37:00","2005-06-02 23:38:00",67,"BERETS AGENT",5,2.99,Action
7955,294,"SHELLY WATTS",2,2.99,"2005-06-21 09:22:37","2005-06-21 09:22:37","2005-06-23 07:16:37",67,"BERETS AGENT",5,2.99,Action
7381,273,"PRISCILLA LOWE",2,2.99,"2005-07-12 12:44:04","2005-07-12 12:44:04","2005-07-16 14:17:04",67,"BERETS AGENT",5,2.99,Action
1242,45,"JANET PHILLIPS",1,2.99,"2005-07-27 17:39:12","2005-07-27 17:39:12","2005-08-01 12:40:12",67,"BERETS AGENT",5,2.99,Action
8867,328,"JEFFREY SPEAR",2,2.99,"2005-08-20 06:11:51","2005-08-20 06:11:51","2005-08-23 04:13:51",67,"BERETS AGENT",5,2.99,Action
11069,409,"RODNEY MOELLER",2,0.99,"2005-07-09 20:55:47","2005-07-09 20:55:47","2005-07-15 15:15:47",97,"BRIDE INTRIGUE",7,0.99,Action
14741,549,"NELSON CHRISTENSON",1,0.99,"2005-07-31 14:00:32","2005-07-31 14:00:32","2005-08-05 19:16:32",97,"BRIDE INTRIGUE",7,0.99,Action
325,12,"NANCY THOMAS",1,0.99,"2005-08-16 22:52:30","2005-08-16 22:52:30","2005-08-21 19:52:30",97,"BRIDE INTRIGUE",7,0.99,Action
7621,281,"LEONA OBRIEN",2,0.99,"2005-07-28 19:55:21","2005-07-28 19:55:21","2005-08-02 21:52:21",97,"BRIDE INTRIGUE",7,0.99,Action
4004,147,"JOANNE ROBERTSON",2,0.99,"2005-08-21 02:35:16","2005-08-21 02:35:16","2005-08-27 01:32:16",97,"BRIDE INTRIGUE",7,0.99,Action
12096,448,"MIGUEL BETANCOURT",1,1.99,"2005-07-07 21:35:16","2005-07-07 21:35:16","2005-07-15 16:13:16",97,"BRIDE INTRIGUE",7,0.99,Action
1606,58,"JEAN BELL",1,2.99,"2005-07-31 18:48:08","2005-07-31 18:48:08","2005-08-09 19:11:08",97,"BRIDE INTRIGUE",7,0.99,Action
15954,595,"TERRENCE GUNDERSON",1,0.99,"2005-08-23 20:29:10","2005-08-23 20:29:10","2005-08-28 01:41:10",97,"BRIDE INTRIGUE",7,0.99,Action
11429,423,"ALFRED CASILLAS",2,0.99,"2005-07-07 06:31:00","2005-07-07 06:31:00","2005-07-09 03:52:00",97,"BRIDE INTRIGUE",7,0.99,Action
15167,566,"CASEY MENA",1,0.99,"2005-07-28 12:47:20","2005-07-28 12:47:20","2005-08-01 08:46:20",97,"BRIDE INTRIGUE",7,0.99,Action
6778,251,"VICKIE BREWER",2,0.99,"2005-08-17 08:31:03","2005-08-17 08:31:03","2005-08-21 05:44:03",97,"BRIDE INTRIGUE",7,0.99,Action
12388,459,"TOMMY COLLAZO",1,0.99,"2005-07-10 09:43:40","2005-07-10 09:43:40","2005-07-13 15:04:40",97,"BRIDE INTRIGUE",7,0.99,Action
671,25,"DEBORAH WALKER",1,0.99,"2005-07-30 00:15:57","2005-07-30 00:15:57","2005-08-01 00:22:57",97,"BRIDE INTRIGUE",7,0.99,Action
9768,361,"LAWRENCE LAWTON",2,0.99,"2005-08-20 21:24:24","2005-08-20 21:24:24","2005-08-23 21:47:24",97,"BRIDE INTRIGUE",7,0.99,Action
12751,472,"GREG ROBINS",1,0.99,"2005-05-29 17:28:12","2005-05-29 17:28:12","2005-05-30 14:59:12",97,"BRIDE INTRIGUE",7,0.99,Action
12546,465,"FLOYD GANDY",1,0.99,"2005-06-19 00:48:11","2005-06-19 00:48:11","2005-06-25 01:46:11",97,"BRIDE INTRIGUE",7,0.99,Action
13769,511,"CHESTER BENNER",1,0.99,"2005-07-11 18:50:55","2005-07-11 18:50:55","2005-07-13 22:46:55",97,"BRIDE INTRIGUE",7,0.99,Action
11103,410,"CURTIS IRBY",2,0.99,"2005-07-30 00:24:05","2005-07-30 00:24:05","2005-08-03 19:48:05",97,"BRIDE INTRIGUE",7,0.99,Action
3164,117,"EDITH MCDONALD",1,0.99,"2005-08-22 00:23:13","2005-08-22 00:23:13","2005-08-28 03:42:13",97,"BRIDE INTRIGUE",7,0.99,Action
15569,581,"VIRGIL WOFFORD",1,0.99,"2005-07-08 07:44:49","2005-07-08 07:44:49","2005-07-09 04:47:49",105,"BULL SHAWSHANK",6,0.99,Action
1351,49,"JOYCE EDWARDS",2,0.99,"2005-08-01 03:05:59","2005-08-01 03:05:59","2005-08-06 06:23:59",105,"BULL SHAWSHANK",6,0.99,Action
10692,394,"CHRIS BROTHERS",2,0.99,"2005-08-21 17:56:06","2005-08-21 17:56:06","2005-08-24 18:35:06",105,"BULL SHAWSHANK",6,0.99,Action
9996,369,"FRED WHEAT",2,1.99,"2005-08-02 18:35:55","2005-08-02 18:35:55","2005-08-09 21:56:55",105,"BULL SHAWSHANK",6,0.99,Action
6618,244,"VIOLA HANSON",2,0.99,"2005-08-21 19:39:43","2005-08-21 19:39:43","2005-08-26 22:39:43",105,"BULL SHAWSHANK",6,0.99,Action
14895,556,"ARMANDO GRUBER",2,0.99,"2005-06-20 08:50:28","2005-06-20 08:50:28","2005-06-26 05:24:28",105,"BULL SHAWSHANK",6,0.99,Action
12823,474,"DUSTIN GILLETTE",2,0.99,"2005-07-09 13:36:10","2005-07-09 13:36:10","2005-07-15 11:40:10",105,"BULL SHAWSHANK",6,0.99,Action
15654,584,"SALVADOR TEEL",2,0.99,"2005-08-02 04:00:47","2005-08-02 04:00:47","2005-08-08 01:58:47",105,"BULL SHAWSHANK",6,0.99,Action
302,11,"LISA ANDERSON",2,0.99,"2006-02-14 15:16:03","2006-02-14 15:16:03",NULL,105,"BULL SHAWSHANK",6,0.99,Action
10922,404,"STANLEY SCROGGINS",2,1.99,"2005-07-11 07:33:48","2005-07-11 07:33:48","2005-07-18 06:13:48",105,"BULL SHAWSHANK",6,0.99,Action
1082,39,"DEBRA NELSON",1,1.99,"2005-07-29 05:11:14","2005-07-29 05:11:14","2005-08-05 01:48:14",105,"BULL SHAWSHANK",6,0.99,Action
7674,283,"FELICIA SUTTON",1,0.99,"2005-08-17 04:36:39","2005-08-17 04:36:39","2005-08-18 02:17:39",105,"BULL SHAWSHANK",6,0.99,Action
6895,256,"MABEL HOLLAND",2,0.99,"2005-06-17 09:17:39","2005-06-17 09:17:39","2005-06-18 12:35:39",105,"BULL SHAWSHANK",6,0.99,Action
8342,307,"JOSEPH JOY",2,0.99,"2005-07-11 15:19:22","2005-07-11 15:19:22","2005-07-13 12:43:22",105,"BULL SHAWSHANK",6,0.99,Action
7227,267,"MARGIE WADE",1,3.99,"2005-07-30 07:18:44","2005-07-30 07:18:44","2005-08-08 08:39:44",105,"BULL SHAWSHANK",6,0.99,Action
8746,323,"MATTHEW MAHAN",2,0.99,"2005-08-17 00:59:47","2005-08-17 00:59:47","2005-08-22 05:09:47",105,"BULL SHAWSHANK",6,0.99,Action
3338,124,"SHEILA WELLS",1,3.99,"2005-05-31 07:58:06","2005-05-31 07:58:06","2005-06-06 03:21:06",111,"CADDYSHACK JEDI",3,0.99,Action
12198,452,"TOM MILNER",1,3.99,"2005-06-16 20:08:37","2005-06-16 20:08:37","2005-06-22 01:54:37",111,"CADDYSHACK JEDI",3,0.99,Action
8513,314,"GEORGE LINTON",1,0.99,"2005-07-10 17:57:32","2005-07-10 17:57:32","2005-07-11 13:57:32",111,"CADDYSHACK JEDI",3,0.99,Action
6577,243,"LYDIA BURKE",1,0.99,"2005-07-27 07:36:46","2005-07-27 07:36:46","2005-07-30 09:22:46",111,"CADDYSHACK JEDI",3,0.99,Action
13576,503,"ANGEL BARCLAY",1,0.99,"2005-08-23 14:13:47","2005-08-23 14:13:47","2005-08-25 09:16:47",111,"CADDYSHACK JEDI",3,0.99,Action
13338,495,"CHARLIE BESS",2,7.99,"2005-07-11 23:56:38","2005-07-11 23:56:38","2005-07-21 05:22:38",111,"CADDYSHACK JEDI",3,0.99,Action
14324,532,"NEIL RENNER",2,6.99,"2005-08-01 03:35:58","2005-08-01 03:35:58","2005-08-10 05:17:58",111,"CADDYSHACK JEDI",3,0.99,Action
10112,373,"LOUIS LEONE",1,3.99,"2005-08-17 17:59:19","2005-08-17 17:59:19","2005-08-23 14:51:19",111,"CADDYSHACK JEDI",3,0.99,Action
8511,314,"GEORGE LINTON",1,0.99,"2005-07-07 20:55:19","2005-07-07 20:55:19","2005-07-10 21:51:19",111,"CADDYSHACK JEDI",3,0.99,Action
7567,279,"DIANNE SHELTON",2,5.99,"2005-07-31 11:46:57","2005-07-31 11:46:57","2005-08-08 13:35:57",111,"CADDYSHACK JEDI",3,0.99,Action
5967,220,"CHARLENE ALVAREZ",2,4.99,"2005-08-17 04:15:46","2005-08-17 04:15:46","2005-08-24 04:48:46",111,"CADDYSHACK JEDI",3,0.99,Action
3148,117,"EDITH MCDONALD",1,0.99,"2005-05-29 02:18:54","2005-05-29 02:18:54","2005-05-30 05:54:54",111,"CADDYSHACK JEDI",3,0.99,Action
5950,220,"CHARLENE ALVAREZ",2,0.99,"2005-06-16 22:35:20","2005-06-16 22:35:20","2005-06-19 03:09:20",111,"CADDYSHACK JEDI",3,0.99,Action
10744,397,"JIMMY SCHRADER",1,0.99,"2005-07-07 02:48:00","2005-07-07 02:48:00","2005-07-07 22:46:00",111,"CADDYSHACK JEDI",3,0.99,Action
8524,314,"GEORGE LINTON",1,3.99,"2005-07-30 12:25:51","2005-07-30 12:25:51","2005-08-05 16:13:51",111,"CADDYSHACK JEDI",3,0.99,Action
2849,105,"DAWN SULLIVAN",1,2.99,"2005-08-23 14:27:07","2005-08-23 14:27:07","2005-08-28 12:01:07",111,"CADDYSHACK JEDI",3,0.99,Action
4991,183,"IDA ANDREWS",2,2.99,"2005-08-02 18:24:03","2005-08-02 18:24:03","2005-08-06 21:22:03",115,"CAMPUS REMEMBER",5,2.99,Action
1250,45,"JANET PHILLIPS",1,2.99,"2005-08-17 08:09:00","2005-08-17 08:09:00","2005-08-18 09:50:00",115,"CAMPUS REMEMBER",5,2.99,Action
8860,328,"JEFFREY SPEAR",2,6.99,"2005-07-29 11:56:30","2005-07-29 11:56:30","2005-08-07 15:41:30",115,"CAMPUS REMEMBER",5,2.99,Action
13706,508,"MILTON HOWLAND",2,6.99,"2005-08-19 10:48:10","2005-08-19 10:48:10","2005-08-28 06:15:10",115,"CAMPUS REMEMBER",5,2.99,Action
2923,108,"TRACY COLE",1,5.99,"2005-08-02 16:07:49","2005-08-02 16:07:49","2005-08-10 13:22:49",115,"CAMPUS REMEMBER",5,2.99,Action
9213,340,"PATRICK NEWSOM",1,2.99,"2005-08-22 19:46:36","2005-08-22 19:46:36","2005-08-27 14:09:36",115,"CAMPUS REMEMBER",5,2.99,Action
3950,146,"JAMIE RICE",1,4.99,"2005-05-31 09:55:04","2005-05-31 09:55:04","2005-06-07 03:55:04",115,"CAMPUS REMEMBER",5,2.99,Action
10481,387,"JESSE SCHILLING",2,5.99,"2005-06-20 08:35:17","2005-06-20 08:35:17","2005-06-28 09:14:17",115,"CAMPUS REMEMBER",5,2.99,Action
7772,287,"BECKY MILES",2,3.99,"2005-07-11 21:51:25","2005-07-11 21:51:25","2005-07-17 03:38:25",115,"CAMPUS REMEMBER",5,2.99,Action
11161,412,"ALLEN BUTTERFIELD",2,2.99,"2005-08-01 06:36:37","2005-08-01 06:36:37","2005-08-05 11:17:37",115,"CAMPUS REMEMBER",5,2.99,Action
12716,470,"GORDON ALLARD",1,3.99,"2005-08-18 01:15:47","2005-08-18 01:15:47","2005-08-24 23:23:47",115,"CAMPUS REMEMBER",5,2.99,Action
9155,339,"WALTER PERRYMAN",2,3.99,"2005-06-15 18:27:24","2005-06-15 18:27:24","2005-06-21 14:03:24",115,"CAMPUS REMEMBER",5,2.99,Action
7382,273,"PRISCILLA LOWE",2,5.99,"2005-07-12 13:35:02","2005-07-12 13:35:02","2005-07-20 15:03:02",115,"CAMPUS REMEMBER",5,2.99,Action
676,25,"DEBORAH WALKER",1,5.99,"2005-08-01 04:49:06","2005-08-01 04:49:06","2005-08-09 08:04:06",115,"CAMPUS REMEMBER",5,2.99,Action
3183,118,"KIM CRUZ",1,6.99,"2005-08-19 14:33:45","2005-08-19 14:33:45","2005-08-28 08:46:45",115,"CAMPUS REMEMBER",5,2.99,Action
14222,528,"CLAUDE HERZOG",1,3.99,"2005-07-31 20:11:29","2005-07-31 20:11:29","2005-08-06 22:28:29",115,"CAMPUS REMEMBER",5,2.99,Action
